Ncpu,Lpt,Nchunk,Nsim
20,127596,261499,1
25,150484,261361,1
30,119525,248690,1
35,101913,214742,1
40,85529,193755,1
45,75280,184468,1
50,64721,179921,1
55,60720,181459,1
60,55170,182709,1
65,97368,184710,1
70,129263,187905,1
75,155345,192732,2
90,181176,196383,2
100,205534,198955,2
105,251434,208063,3
110,289718,213516,3
120,303480,219941,4
130,321754,222062,4
135,342366,235188,4
140,371889,237024,4
150,350000,232865,4
165,358371,244275,4
170,341379,250218,4
180,292401,241328,4
190,328607,261268,4
195,306933,261590,4
200,288702,261999,4
210,270952,261970,4
220,260512,261954,4
225,252711,261956,4
255,232102,261920,4
